Lever position,Ship speed,Gas Turbine (GT) shaft torque (GTT) ,GT rate of revolutions (GTn),Gas Generator rate of revolutions (GGn),Starboard Propeller Torque (Ts) ,Hight Pressure (HP) Turbine exit temperature (T48) ,GT Compressor outlet air temperature (T2) ,HP Turbine exit pressure (P48) ,GT Compressor outlet air pressure (P2),GT exhaust gas pressure (Pexh) ,Turbine Injecton Control (TIC) ,Fuel flow (mf),GT Compressor decay state coefficient,GT Turbine decay state coefficient
3.14,9,8380,1390,7080,60.3,581,579,1.39,7.48,1.02,12.1,0.239,0.979,0.99
4.16,12,14700,1550,7760,114,635,605,1.66,8.9,1.02,16.9,0.335,0.979,0.99
5.14,15,21600,1920,8480,175,702,636,2.08,11.1,1.03,24.8,0.492,0.979,0.99
6.18,18,29800,2310,8810,246,768,666,2.51,13.2,1.03,33.9,0.671,0.979,0.99
7.15,21,39000,2680,9130,332,820,688,2.97,15.5,1.04,43.6,0.864,0.979,0.99
8.21,24,51000,3090,9310,438,917,730,3.59,18.4,1.04,59.8,1.19,0.979,0.99
9.3,27,72800,3560,9760,645,1070,776,4.52,22.6,1.05,88.7,1.76,0.979,0.99
1.14,3,577,1330,6640,6.61,461,544,1.11,5.93,1.02,15.4,0.095,0.979,0.991
2.09,6,4960,1390,6820,31.6,549,566,1.28,6.85,1.02,0,0.185,0.979,0.991
3.14,9,8380,1390,7090,60.3,580,579,1.39,7.47,1.02,12.1,0.239,0.979,0.991
4.16,12,14700,1550,7760,114,634,605,1.66,8.89,1.02,16.9,0.335,0.979,0.991
5.14,15,21600,1920,8480,175,701,636,2.08,11.1,1.03,24.8,0.491,0.979,0.991
6.18,18,29800,2310,8810,246,767,666,2.51,13.2,1.03,33.8,0.67,0.979,0.991
7.15,21,39000,2680,9130,332,819,688,2.97,15.5,1.04,43.5,0.862,0.979,0.991
8.21,24,51000,3090,9310,438,916,730,3.58,18.4,1.04,59.7,1.18,0.979,0.991
9.3,27,72800,3560,9760,645,1070,776,4.52,22.6,1.05,88.6,1.75,0.979,0.991
1.14,3,584,1360,6660,7.84,450,544,1.11,5.93,1.02,2.96,0.071,0.979,0.992
2.09,6,5110,1390,6820,31.6,552,567,1.28,6.88,1.02,0,0.19,0.979,0.992
3.14,9,8380,1390,7090,60.3,579,579,1.39,7.46,1.02,12,0.238,0.979,0.992
4.16,12,14700,1550,7760,114,633,605,1.66,8.88,1.02,16.9,0.334,0.979,0.992
5.14,15,21600,1920,8480,175,700,635,2.08,11,1.03,24.7,0.489,0.979,0.992
6.18,18,29800,2310,8810,246,766,666,2.51,13.2,1.03,33.8,0.669,0.979,0.992
7.15,21,39000,2680,9130,332,818,688,2.97,15.5,1.04,43.5,0.861,0.979,0.992
8.21,24,51000,3090,9310,438,915,730,3.58,18.4,1.04,59.6,1.18,0.979,0.992
9.3,27,72800,3560,9760,645,1070,776,4.51,22.5,1.05,88.5,1.75,0.979,0.992
1.14,3,1350,1390,6680,9.55,470,549,1.14,6.1,1.02,0,0.093,0.979,0.993
2.09,6,5360,1390,6820,31.5,558,567,1.29,6.91,1.02,0,0.198,0.979,0.993
3.14,9,8380,1390,7090,60.3,578,579,1.39,7.46,1.02,12,0.237,0.979,0.993
4.16,12,14700,1550,7760,114,632,605,1.66,8.87,1.02,16.8,0.333,0.979,0.993
5.14,15,21600,1920,8480,175,699,635,2.08,11,1.03,24.7,0.488,0.979,0.993
6.18,18,29800,2310,8820,246,765,665,2.51,13.2,1.03,33.7,0.667,0.979,0.993
7.15,21,39000,2680,9130,332,817,688,2.97,15.5,1.04,43.4,0.859,0.979,0.993
8.21,24,51000,3090,9310,438,914,730,3.58,18.4,1.04,59.5,1.18,0.979,0.993
9.3,27,72800,3560,9760,645,1070,776,4.51,22.5,1.05,88.4,1.75,0.979,0.993
1.14,3,1940,1400,6700,10.4,487,552,1.17,6.23,1.02,0,0.113,0.979,0.994
2.09,6,5430,1390,6820,31.5,559,567,1.29,6.91,1.02,0,0.199,0.979,0.994
3.14,9,8380,1390,7090,60.3,577,578,1.39,7.45,1.02,12,0.237,0.979,0.994
4.16,12,14700,1550,7760,114,631,604,1.66,8.86,1.02,16.8,0.332,0.979,0.994
5.14,15,21600,1920,8480,175,698,635,2.08,11,1.03,24.6,0.487,0.979,0.994
6.18,18,29800,2310,8820,246,764,665,2.51,13.2,1.03,33.6,0.666,0.979,0.994
7.15,21,39000,2680,9130,332,816,688,2.97,15.5,1.04,43.3,0.857,0.979,0.994
8.21,24,51000,3090,9310,438,913,729,3.58,18.3,1.04,59.5,1.18,0.979,0.994
9.3,27,72800,3560,9760,645,1070,776,4.51,22.5,1.05,88.3,1.75,0.979,0.994
1.14,3,2870,1410,6710,11.2,514,557,1.2,6.43,1.02,0,0.144,0.979,0.995
2.09,6,5760,1390,6820,31.3,567,569,1.3,6.97,1.02,0,0.21,0.979,0.995
3.14,9,8380,1390,7100,60.3,577,578,1.39,7.44,1.02,11.9,0.236,0.979,0.995
4.16,12,14700,1550,7770,114,631,604,1.66,8.86,1.02,16.7,0.331,0.979,0.995
5.14,15,21600,1920,8490,175,697,635,2.08,11,1.03,24.6,0.486,0.979,0.995
6.18,18,29800,2310,8820,246,763,665,2.51,13.1,1.03,33.6,0.665,0.979,0.995
7.15,21,39000,2680,9130,332,815,687,2.97,15.4,1.04,43.2,0.856,0.979,0.995
8.21,24,51000,3090,9310,438,912,729,3.58,18.3,1.04,59.4,1.18,0.979,0.995
9.3,27,72800,3560,9760,645,1070,776,4.51,22.5,1.05,88.2,1.75,0.979,0.995
1.14,3,4180,1410,6710,11.2,552,562,1.25,6.68,1.02,0,0.189,0.979,0.996
2.09,6,5710,1390,6830,31.3,565,568,1.3,6.95,1.02,0,0.208,0.979,0.996
3.14,9,8380,1390,7100,60.3,576,578,1.39,7.44,1.02,11.9,0.235,0.979,0.996
4.16,12,14700,1550,7770,114,630,604,1.66,8.85,1.02,16.7,0.33,0.979,0.996
5.14,15,21600,1920,8490,175,696,635,2.08,11,1.03,24.5,0.485,0.979,0.996
6.18,18,29800,2310,8820,246,762,665,2.51,13.1,1.03,33.5,0.663,0.979,0.996
7.15,21,39000,2680,9130,332,814,687,2.97,15.4,1.04,43.1,0.854,0.979,0.996
8.21,24,51000,3090,9310,438,911,729,3.58,18.3,1.04,59.3,1.17,0.979,0.996
9.3,27,72800,3560,9760,645,1060,776,4.51,22.4,1.05,88.1,1.74,0.979,0.996
1.14,3,5260,1410,6710,10.7,582,566,1.28,6.87,1.02,0,0.226,0.979,0.997
2.09,6,5700,1390,6830,31.3,564,568,1.3,6.94,1.02,0,0.207,0.979,0.997
3.14,9,8380,1390,7100,60.3,575,578,1.39,7.43,1.02,11.9,0.235,0.979,0.997
4.16,12,14700,1550,7770,114,629,604,1.66,8.84,1.02,16.7,0.33,0.979,0.997
5.14,15,21600,1920,8490,175,695,634,2.08,11,1.03,24.5,0.484,0.979,0.997
6.18,18,29800,2310,8820,246,761,664,2.51,13.1,1.03,33.4,0.662,0.979,0.997
7.15,21,39000,2680,9130,332,813,687,2.97,15.4,1.04,43.1,0.853,0.979,0.997
8.21,24,51000,3090,9310,438,910,729,3.58,18.3,1.04,59.2,1.17,0.979,0.997
9.3,27,72800,3560,9760,645,1060,775,4.51,22.4,1.05,88,1.74,0.979,0.997
1.14,3,7000,1380,6700,9.03,632,572,1.33,7.12,1.02,3.03,0.292,0.979,0.998
2.09,6,6170,1390,6830,30.9,577,570,1.31,7.02,1.02,0,0.224,0.979,0.998
3.14,9,8380,1390,7100,60.3,574,578,1.39,7.42,1.02,11.8,0.234,0.979,0.998
4.16,12,14700,1550,7770,114,628,604,1.66,8.83,1.02,16.6,0.329,0.979,0.998
5.14,15,21600,1920,8490,175,694,634,2.08,11,1.03,24.4,0.483,0.979,0.998
6.18,18,29800,2310,8820,246,760,664,2.51,13.1,1.03,33.4,0.661,0.979,0.998
7.15,21,39000,2680,9130,332,812,687,2.97,15.4,1.04,43,0.851,0.979,0.998
8.21,24,51000,3090,9310,438,909,729,3.58,18.3,1.04,59.1,1.17,0.979,0.998
9.3,27,72800,3560,9760,645,1060,775,4.51,22.4,1.05,87.9,1.74,0.979,0.998
1.14,3,7160,1360,6690,8.2,640,572,1.33,7.12,1.02,11.1,0.306,0.979,0.999
2.09,6,6110,1390,6830,30.9,574,569,1.31,7,1.02,0,0.221,0.979,0.999
3.14,9,8380,1390,7110,60.3,574,578,1.39,7.41,1.02,11.8,0.233,0.979,0.999
4.16,12,14700,1550,7770,114,627,604,1.66,8.82,1.02,16.6,0.328,0.979,0.999
5.14,15,21600,1920,8490,175,693,634,2.08,11,1.03,24.3,0.482,0.979,0.999
6.18,18,29800,2310,8820,246,759,664,2.51,13.1,1.03,33.3,0.659,0.979,0.999
7.15,21,39000,2680,9130,332,811,687,2.97,15.4,1.04,42.9,0.85,0.979,0.999
8.21,24,51000,3090,9310,438,908,729,3.58,18.2,1.04,59,1.17,0.979,0.999
9.3,27,72800,3560,9760,645,1060,775,4.51,22.4,1.05,87.8,1.74,0.979,0.999
1.14,3,6580,1340,6680,6.79,631,569,1.3,7,1.02,23.4,0.302,0.979,1
2.09,6,6280,1390,6830,30.7,578,570,1.32,7.02,1.02,0.192,0.227,0.979,1
3.14,9,8380,1390,7110,60.3,573,578,1.39,7.41,1.02,11.8,0.233,0.979,1
4.16,12,14700,1550,7780,114,626,604,1.66,8.81,1.02,16.5,0.327,0.979,1
5.14,15,21600,1920,8490,175,692,634,2.08,11,1.03,24.3,0.481,0.979,1
6.18,18,29800,2310,8820,246,758,664,2.5,13.1,1.03,33.2,0.658,0.979,1
7.15,21,39000,2680,9130,332,810,687,2.97,15.4,1.04,42.8,0.848,0.979,1
8.21,24,51000,3090,9310,438,907,728,3.58,18.2,1.04,58.9,1.17,0.979,1
9.3,27,72800,3560,9770,645,1060,775,4.5,22.3,1.05,87.7,1.74,0.979,1
1.14,3,4020,1390,6650,9.98,566,564,1.24,6.77,1.02,3.97,0.201,0.98,0.975
2.09,6,2970,1370,6760,27.6,506,559,1.21,6.56,1.02,4.96,0.132,0.98,0.975
3.14,9,8380,1390,7040,60.3,592,581,1.39,7.59,1.02,12.6,0.249,0.98,0.975
4.16,12,14700,1550,7720,114,648,607,1.66,9.04,1.02,17.6,0.348,0.98,0.975
5.14,15,21600,1920,8470,175,715,638,2.09,11.2,1.03,25.7,0.508,0.98,0.975
6.18,18,29800,2310,8800,246,785,669,2.51,13.4,1.03,35,0.692,0.98,0.975
7.15,21,39000,2680,9120,332,834,691,2.98,15.8,1.04,44.8,0.887,0.98,0.975
8.21,24,51000,3090,9300,438,932,732,3.6,18.7,1.04,61.3,1.21,0.98,0.975
9.3,27,72800,3560,9740,645,1080,778,4.54,23,1.05,90.2,1.79,0.98,0.975
1.14,3,4600,1390,6650,9.77,582,566,1.26,6.87,1.02,4.07,0.221,0.98,0.976
2.09,6,3010,1370,6760,27.8,506,559,1.21,6.56,1.02,4.3,0.132,0.98,0.976
3.14,9,8380,1390,7050,60.3,591,581,1.39,7.58,1.02,12.5,0.248,0.98,0.976
4.16,12,14700,1550,7730,114,647,607,1.66,9.03,1.02,17.5,0.347,0.98,0.976
5.14,15,21600,1920,8470,175,715,638,2.09,11.2,1.03,25.6,0.507,0.98,0.976
6.18,18,29800,2310,8800,246,783,669,2.51,13.4,1.03,34.9,0.691,0.98,0.976
7.15,21,39000,2680,9120,332,833,690,2.98,15.8,1.04,44.7,0.886,0.98,0.976
8.21,24,51000,3090,9300,438,931,732,3.6,18.7,1.04,61.2,1.21,0.98,0.976
9.3,27,72800,3560,9740,645,1080,778,4.53,23,1.05,90.1,1.78,0.98,0.976
1.14,3,5150,1380,6650,9.39,598,568,1.28,6.95,1.02,4.34,0.241,0.98,0.977
2.09,6,3240,1380,6770,28.7,511,560,1.22,6.6,1.02,1.63,0.136,0.98,0.977
3.14,9,8380,1390,7050,60.3,591,581,1.39,7.57,1.02,12.5,0.248,0.98,0.977
4.16,12,14700,1550,7730,114,646,607,1.66,9.02,1.02,17.5,0.346,0.98,0.977
5.14,15,21600,1920,8470,175,714,638,2.09,11.2,1.03,25.5,0.506,0.98,0.977
6.18,18,29800,2310,8800,246,782,669,2.51,13.4,1.03,34.8,0.689,0.98,0.977
7.15,21,39000,2680,9120,332,832,690,2.98,15.7,1.04,44.6,0.884,0.98,0.977
8.21,24,51000,3090,9300,438,930,732,3.6,18.7,1.04,61.1,1.21,0.98,0.977
9.3,27,72800,3560,9740,645,1080,778,4.53,23,1.05,90,1.78,0.98,0.977
1.14,3,5640,1370,6640,8.47,616,570,1.29,7.02,1.02,11,0.269,0.98,0.978
2.09,6,3140,1380,6770,28.3,508,560,1.21,6.58,1.02,3.24,0.133,0.98,0.978
3.14,9,8380,1390,7050,60.3,590,581,1.39,7.57,1.02,12.5,0.247,0.98,0.978
4.16,12,14700,1550,7730,114,645,607,1.66,9.01,1.02,17.4,0.345,0.98,0.978
5.14,15,21600,1920,8470,175,713,638,2.09,11.2,1.03,25.5,0.504,0.98,0.978
6.18,18,29800,2310,8800,246,781,668,2.51,13.4,1.03,34.7,0.688,0.98,0.978
7.15,21,39000,2680,9120,332,831,690,2.98,15.7,1.04,44.6,0.882,0.98,0.978
8.21,24,51000,3090,9300,438,929,732,3.6,18.7,1.04,61,1.21,0.98,0.978
9.3,27,72800,3560,9750,645,1080,778,4.53,22.9,1.05,89.9,1.78,0.98,0.978
1.14,3,5500,1350,6630,7.71,616,569,1.28,6.98,1.02,17.8,0.273,0.98,0.979
2.09,6,3400,1380,6780,29.2,514,561,1.22,6.62,1.02,0.281,0.139,0.98,0.979
3.14,9,8380,1390,7050,60.3,589,580,1.39,7.56,1.02,12.4,0.246,0.98,0.979
4.16,12,14700,1550,7730,114,644,607,1.66,9,1.02,17.4,0.344,0.98,0.979
5.14,15,21600,1920,8470,175,712,637,2.09,11.2,1.03,25.4,0.503,0.98,0.979
6.18,18,29800,2310,8800,246,780,668,2.51,13.4,1.03,34.7,0.686,0.98,0.979
7.15,21,39000,2680,9120,332,830,690,2.98,15.7,1.04,44.5,0.881,0.98,0.979
8.21,24,51000,3090,9300,438,928,732,3.6,18.6,1.04,60.9,1.21,0.98,0.979
9.3,27,72800,3560,9750,645,1080,778,4.53,22.9,1.05,89.8,1.78,0.98,0.979
1.14,3,4890,1340,6630,7.04,602,566,1.26,6.86,1.02,22.9,0.259,0.98,0.98
2.09,6,3580,1380,6780,29.7,518,561,1.23,6.65,1.02,0,0.144,0.98,0.98
3.14,9,8380,1390,7060,60.3,588,580,1.39,7.55,1.02,12.4,0.246,0.98,0.98
4.16,12,14700,1550,7730,114,643,606,1.66,8.99,1.02,17.3,0.343,0.98,0.98
5.14,15,21600,1920,8470,175,711,637,2.09,11.2,1.03,25.4,0.502,0.98,0.98
6.18,18,29800,2310,8800,246,779,668,2.51,13.3,1.03,34.6,0.685,0.98,0.98
7.15,21,39000,2680,9120,332,829,690,2.98,15.7,1.04,44.4,0.879,0.98,0.98
8.21,24,51000,3090,9300,438,927,731,3.59,18.6,1.04,60.8,1.2,0.98,0.98
9.3,27,72800,3560,9750,645,1080,778,4.53,22.9,1.05,89.7,1.78,0.98,0.98
1.14,3,3770,1330,6620,6.52,572,561,1.22,6.64,1.02,25.4,0.227,0.98,0.981
2.09,6,3580,1380,6780,29.7,517,561,1.23,6.64,1.02,0,0.144,0.98,0.981
3.14,9,8380,1390,7060,60.3,587,580,1.39,7.54,1.02,12.4,0.245,0.98,0.981
4.16,12,14700,1550,7740,114,642,606,1.66,8.98,1.02,17.3,0.343,0.98,0.981
5.14,15,21600,1920,8470,175,710,637,2.09,11.2,1.03,25.3,0.501,0.98,0.981
6.18,18,29800,2310,8800,246,778,668,2.51,13.3,1.03,34.5,0.684,0.98,0.981
7.15,21,39000,2680,9120,332,828,690,2.98,15.7,1.04,44.3,0.877,0.98,0.981
8.21,24,51000,3090,9300,438,926,731,3.59,18.6,1.04,60.7,1.2,0.98,0.981
9.3,27,72800,3560,9750,645,1080,777,4.53,22.8,1.05,89.6,1.77,0.98,0.981
1.14,3,2180,1330,6620,6.49,523,554,1.17,6.33,1.02,23.1,0.168,0.98,0.982
2.09,6,3680,1390,6790,29.9,519,562,1.23,6.66,1.02,0,0.147,0.98,0.982
3.14,9,8380,1390,7060,60.3,587,580,1.39,7.54,1.02,12.3,0.244,0.98,0.982
4.16,12,14700,1550,7740,114,641,606,1.66,8.97,1.02,17.3,0.342,0.98,0.982
5.14,15,21600,1920,8470,175,709,637,2.09,11.2,1.03,25.3,0.5,0.98,0.982
6.18,18,29800,2310,8800,246,777,667,2.51,13.3,1.03,34.5,0.682,0.98,0.982
7.15,21,39000,2680,9120,332,827,689,2.98,15.7,1.04,44.2,0.876,0.98,0.982
8.21,24,51000,3090,9300,438,925,731,3.59,18.6,1.04,60.6,1.2,0.98,0.982
9.3,27,72800,3560,9750,645,1080,777,4.53,22.8,1.05,89.5,1.77,0.98,0.982
1.14,3,1290,1340,6630,6.88,490,549,1.14,6.14,1.02,17.1,0.126,0.98,0.983
2.09,6,3770,1390,6790,30.1,521,562,1.24,6.67,1.02,0,0.15,0.98,0.983
3.14,9,8380,1390,7060,60.3,586,580,1.39,7.53,1.02,12.3,0.244,0.98,0.983
4.16,12,14700,1550,7740,114,640,606,1.66,8.96,1.02,17.2,0.341,0.98,0.983
5.14,15,21600,1920,8470,175,708,637,2.09,11.2,1.03,25.2,0.499,0.98,0.983
6.18,18,29800,2310,8800,246,776,667,2.51,13.3,1.03,34.4,0.681,0.98,0.983
7.15,21,39000,2680,9120,332,826,689,2.98,15.6,1.04,44.2,0.874,0.98,0.983
8.21,24,51000,3090,9300,438,924,731,3.59,18.6,1.04,60.5,1.2,0.98,0.983
9.3,27,72800,3560,9750,645,1070,777,4.53,22.8,1.05,89.4,1.77,0.98,0.983
1.14,3,956,1360,6640,7.9,468,547,1.12,6.06,1.02,5.8,0.093,0.98,0.984
2.09,6,4010,1390,6790,30.6,527,563,1.25,6.71,1.02,0,0.157,0.98,0.984
3.14,9,8380,1390,7070,60.3,585,580,1.39,7.52,1.02,12.3,0.243,0.98,0.984
4.16,12,14700,1550,7740,114,640,606,1.66,8.95,1.02,17.2,0.34,0.98,0.984
5.14,15,21600,1920,8470,175,707,637,2.09,11.1,1.03,25.1,0.498,0.98,0.984
6.18,18,29800,2310,8800,246,774,667,2.51,13.3,1.03,34.3,0.679,0.98,0.984
7.15,21,39000,2680,9120,332,825,689,2.98,15.6,1.04,44.1,0.873,0.98,0.984
8.21,24,51000,3090,9300,438,922,731,3.59,18.5,1.04,60.4,1.2,0.98,0.984
9.3,27,72800,3560,9750,645,1070,777,4.52,22.8,1.05,89.2,1.77,0.98,0.984
1.14,3,1060,1370,6650,8.54,469,548,1.13,6.08,1.02,2.09,0.091,0.98,0.985
2.09,6,4140,1390,6800,30.8,530,563,1.25,6.74,1.02,0,0.161,0.98,0.985
3.14,9,8380,1390,7070,60.3,584,580,1.39,7.51,1.02,12.2,0.242,0.98,0.985
4.16,12,14700,1550,7740,114,639,606,1.66,8.95,1.02,17.1,0.339,0.98,0.985
5.14,15,21600,1920,8480,175,706,636,2.09,11.1,1.03,25.1,0.497,0.98,0.985
6.18,18,29800,2310,8810,246,773,667,2.51,13.3,1.03,34.2,0.678,0.98,0.985
7.15,21,39000,2680,9120,332,824,689,2.98,15.6,1.04,44,0.871,0.98,0.985
8.21,24,51000,3090,9300,438,921,731,3.59,18.5,1.04,60.3,1.19,0.98,0.985
9.3,27,72800,3560,9750,645,1070,777,4.52,22.7,1.05,89.1,1.77,0.98,0.985
1.14,3,1530,1390,6670,9.67,480,551,1.15,6.19,1.02,0.702,0.103,0.98,0.986
2.09,6,4450,1390,6800,31.2,538,564,1.26,6.79,1.02,0,0.17,0.98,0.986
3.14,9,8380,1390,7070,60.3,583,579,1.39,7.51,1.02,12.2,0.242,0.98,0.986
4.16,12,14700,1550,7750,114,638,606,1.66,8.94,1.02,17.1,0.338,0.98,0.986
5.14,15,21600,1920,8480,175,705,636,2.09,11.1,1.03,25,0.496,0.98,0.986
6.18,18,29800,2310,8810,246,772,667,2.51,13.3,1.03,34.2,0.676,0.98,0.986
7.15,21,39000,2680,9120,332,823,689,2.98,15.6,1.04,43.9,0.869,0.98,0.986
8.21,24,51000,3090,9310,438,920,730,3.59,18.5,1.04,60.2,1.19,0.98,0.986
9.3,27,72800,3560,9750,645,1070,777,4.52,22.7,1.05,89,1.76,0.98,0.986
1.14,3,2830,1410,6690,11,518,557,1.2,6.47,1.02,0,0.147,0.98,0.987
2.09,6,4580,1390,6800,31.3,541,565,1.27,6.81,1.02,0,0.175,0.98,0.987
3.14,9,8380,1390,7070,60.3,583,579,1.39,7.5,1.02,12.2,0.241,0.98,0.987
4.16,12,14700,1550,7750,114,637,605,1.66,8.93,1.02,17,0.337,0.98,0.987
5.14,15,21600,1920,8480,175,704,636,2.09,11.1,1.03,25,0.494,0.98,0.987
6.18,18,29800,2310,8810,246,771,666,2.51,13.2,1.03,34.1,0.675,0.98,0.987
7.15,21,39000,2680,9120,332,822,689,2.98,15.6,1.04,43.8,0.868,0.98,0.987
8.21,24,51000,3090,9310,438,919,730,3.59,18.5,1.04,60.1,1.19,0.98,0.987
9.3,27,72800,3560,9750,645,1070,776,4.52,22.7,1.05,88.9,1.76,0.98,0.987
1.14,3,4670,1410,6690,11,572,565,1.27,6.81,1.02,0,0.21,0.98,0.988
2.09,6,4820,1390,6810,31.5,547,566,1.27,6.85,1.02,0,0.182,0.98,0.988
3.14,9,8380,1390,7080,60.3,582,579,1.39,7.49,1.02,12.1,0.24,0.98,0.988
4.16,12,14700,1550,7750,114,636,605,1.66,8.92,1.02,17,0.337,0.98,0.988
5.14,15,21600,1920,8480,175,703,636,2.08,11.1,1.03,24.9,0.493,0.98,0.988
6.18,18,29800,2310,8810,246,770,666,2.51,13.2,1.03,34,0.674,0.98,0.988
7.15,21,39000,2680,9120,332,821,688,2.98,15.6,1.04,43.8,0.866,0.98,0.988
8.21,24,51000,3090,9310,438,918,730,3.59,18.5,1.04,60,1.19,0.98,0.988
9.3,27,72800,3560,9750,645,1070,776,4.52,22.7,1.05,88.8,1.76,0.98,0.988
1.14,3,7050,1360,6660,7.97,647,573,1.32,7.17,1.02,13.5,0.313,0.98,0.989
2.09,6,4860,1390,6810,31.5,547,566,1.27,6.84,1.02,0,0.183,0.98,0.989
3.14,9,8380,1390,7080,60.3,581,579,1.39,7.49,1.02,12.1,0.24,0.98,0.989
4.16,12,14700,1550,7750,114,635,605,1.66,8.91,1.02,17,0.336,0.98,0.989
5.14,15,21600,1920,8480,175,702,636,2.08,11.1,1.03,24.9,0.492,0.98,0.989
6.18,18,29800,2310,8810,246,769,666,2.51,13.2,1.03,34,0.672,0.98,0.989
7.15,21,39000,2680,9120,332,820,688,2.98,15.5,1.04,43.7,0.865,0.98,0.989
8.21,24,51000,3090,9310,438,917,730,3.59,18.4,1.04,59.9,1.19,0.98,0.989
9.3,27,72800,3560,9760,645,1070,776,4.52,22.6,1.05,88.7,1.76,0.98,0.989
1.14,3,3510,1310,6630,5.54,563,559,1.21,6.53,1.02,31.2,0.223,0.98,0.99
2.09,6,5060,1390,6810,31.6,552,566,1.28,6.88,1.02,0,0.189,0.98,0.99
3.14,9,8380,1390,7080,60.3,580,579,1.39,7.48,1.02,12.1,0.239,0.98,0.99
4.16,12,14700,1550,7750,114,634,605,1.66,8.9,1.02,16.9,0.335,0.98,0.99
5.14,15,21600,1920,8480,175,701,635,2.08,11.1,1.03,24.8,0.491,0.98,0.99
6.18,18,29800,2310,8810,246,768,666,2.51,13.2,1.03,33.9,0.671,0.98,0.99
7.15,21,39000,2680,9130,332,819,688,2.98,15.5,1.04,43.6,0.863,0.98,0.99
8.21,24,51000,3090,9310,438,916,730,3.59,18.4,1.04,59.8,1.18,0.98,0.99
9.3,27,72800,3560,9760,645,1070,776,4.52,22.6,1.05,88.6,1.75,0.98,0.99
1.14,3,1000,1320,6640,6.1,481,547,1.12,6.03,1.02,21.4,0.121,0.98,0.991
2.09,6,5250,1390,6810,31.6,556,567,1.29,6.9,1.02,0,0.194,0.98,0.991
3.14,9,8380,1390,7080,60.3,579,579,1.39,7.47,1.02,12,0.238,0.98,0.991
4.16,12,14700,1550,7760,114,634,605,1.66,8.89,1.02,16.9,0.334,0.98,0.991
5.14,15,21600,1920,8480,175,700,635,2.08,11.1,1.03,24.8,0.49,0.98,0.991
6.18,18,29800,2310,8810,246,767,665,2.51,13.2,1.03,33.8,0.669,0.98,0.991
7.15,21,39000,2680,9130,332,818,688,2.97,15.5,1.04,43.5,0.861,0.98,0.991
8.21,24,51000,3090,9310,438,915,730,3.59,18.4,1.04,59.7,1.18,0.98,0.991
9.3,27,72800,3560,9760,645,1070,776,4.52,22.6,1.05,88.5,1.75,0.98,0.991
1.14,3,484,1350,6650,7.43,449,543,1.1,5.9,1.02,6.98,0.074,0.98,0.992
2.09,6,5240,1390,6820,31.6,555,567,1.29,6.89,1.02,0,0.194,0.98,0.992
3.14,9,8380,1390,7090,60.3,579,579,1.39,7.46,1.02,12,0.238,0.98,0.992
4.16,12,14700,1550,7760,114,633,605,1.66,8.88,1.02,16.8,0.333,0.98,0.992
5.14,15,21600,1920,8480,175,699,635,2.08,11,1.03,24.7,0.489,0.98,0.992
6.18,18,29800,2310,8810,246,766,665,2.51,13.2,1.03,33.7,0.668,0.98,0.992
7.15,21,39000,2680,9130,332,817,688,2.97,15.5,1.04,43.4,0.86,0.98,0.992
8.21,24,51000,3090,9310,438,914,729,3.58,18.4,1.04,59.6,1.18,0.98,0.992
9.3,27,72800,3560,9760,645,1070,776,4.52,22.5,1.05,88.4,1.75,0.98,0.992
1.14,3,847,1370,6670,8.5,456,545,1.12,5.98,1.02,0,0.077,0.98,0.993
2.09,6,5540,1390,6820,31.5,563,568,1.3,6.95,1.02,0,0.204,0.98,0.993
3.14,9,8380,1390,7090,60.3,578,578,1.39,7.46,1.02,12,0.237,0.98,0.993
4.16,12,14700,1550,7760,114,632,604,1.66,8.87,1.02,16.8,0.333,0.98,0.993
5.14,15,21600,1920,8480,175,698,635,2.08,11,1.03,24.7,0.488,0.98,0.993
6.18,18,29800,2310,8810,246,765,665,2.51,13.2,1.03,33.7,0.667,0.98,0.993
7.15,21,39000,2680,9130,332,816,688,2.97,15.5,1.04,43.4,0.858,0.98,0.993
8.21,24,51000,3090,9310,438,913,729,3.58,18.4,1.04,59.5,1.18,0.98,0.993
9.3,27,72800,3560,9760,645,1070,776,4.51,22.5,1.05,88.3,1.75,0.98,0.993
1.14,3,1590,1390,6690,9.93,476,550,1.15,6.15,1.02,0,0.101,0.98,0.994
2.09,6,5540,1390,6820,31.5,562,568,1.3,6.93,1.02,0,0.203,0.98,0.994
3.14,9,8380,1390,7090,60.3,577,578,1.39,7.45,1.02,11.9,0.236,0.98,0.994
4.16,12,14700,1550,7760,114,631,604,1.66,8.86,1.02,16.8,0.332,0.98,0.994
5.14,15,21600,1920,8480,175,697,635,2.08,11,1.03,24.6,0.487,0.98,0.994
6.18,18,29800,2310,8820,246,764,665,2.51,13.2,1.03,33.6,0.666,0.98,0.994
7.15,21,39000,2680,9130,332,815,687,2.97,15.5,1.04,43.3,0.857,0.98,0.994
8.21,24,51000,3090,9310,438,912,729,3.58,18.3,1.04,59.4,1.18,0.98,0.994
9.3,27,72800,3560,9760,645,1060,775,4.51,22.5,1.05,88.2,1.75,0.98,0.994
1.14,3,2470,1410,6700,10.9,502,554,1.19,6.35,1.02,0,0.13,0.98,0.995
2.09,6,5850,1390,6820,31.2,570,569,1.3,6.98,1.02,0,0.213,0.98,0.995
3.14,9,8380,1390,7090,60.3,576,578,1.39,7.44,1.02,11.9,0.236,0.98,0.995
